timestamp,open,high,low,close,volume
1718280000,129.4,129.7394,127.4,127.816,148321390
1718294400,127.815,129.8,127.16,129.37,85724703
1718366400,129.94,132.835,128.32,130.6703,180062039
1718380800,130.67,132.58,130.46,131.98,104403302
1718625600,132.905,133.73,129.5801,131.98,167925706
1718640000,131.985,132.58,130.96,131.09,92931489
1718712000,131.04,134.8,130.7,134.4457,144896939
1718726400,134.44,136.33,134.25,135.68,124805631
1718884800,139.85,140.76,134.07,134.145,251087540
1718899200,134.14,134.57,129.53,130.72,220287677
1718971200,127.0,130.63,124.3,129.09,275235634
1718985600,129.096,129.69,125.1,127.06,156574660
1719230400,122.94,124.46,118.29,120.76,264813697
1719244800,120.75,121.32,118.04,118.07,160083074
1719316800,121.2,125.59,119.32,124.57,239536348
1719331200,124.57,126.5,123.0401,126.25,135742721
1719403200,126.15,128.12,122.6,124.4501,209102274
1719417600,124.46,126.48,122.86,126.45,118108566
1719489600,124.0,126.405,122.94,124.16,138759828
1719504000,124.15,125.08,122.92,124.09,86778467
1719576000,124.575,127.71,123.42,124.705,155112508
1719590400,124.705,124.84,122.75,123.44,106984550
1719835200,123.455,124.84,118.83,124.31,180042270
1719849600,124.32,124.71,122.85,124.18,84135757
1719921600,121.09,123.41,121.03,122.595,125342792
1719936000,122.6,123.36,121.78,122.66,72653822
1720008000,121.67,128.01,121.36,127.995,162926272
1720180800,127.67,128.8452,125.68,128.08,121426473
1720195200,128.06,128.17,125.79,125.8,67538988
1720440000,127.53,130.77,127.04,128.3673,148868054
1720454400,128.3612,129.2,127.65,128.19,67003070
1720526400,130.31,133.82,130.3,131.145,163934061
1720540800,131.14,131.59,128.66,131.45,99508481
1720612800,134.09,134.83,132.42,134.73,133867129
1720627200,134.7299,135.09,133.83,134.845,80066798
1720699200,135.9799,136.15,127.6,129.9544,220919127
1720713600,129.9444,129.99,127.05,127.46,121114951
1720785600,128.26,131.05,127.22,129.9754,134990250
1720800000,129.9601,131.92,128.84,129.17,95427387
1721044800,130.81,131.39,127.26,128.345,118385881
1721059200,128.34,128.885,127.18,128.44,72543374
1721131200,128.41,129.04,124.58,125.48,117471368
1721145600,125.485,126.65,125.18,126.315,74718216
1721217600,121.34,121.85,117.45,117.83,213964862
1721232000,117.84,119.1,116.73,117.85,139927545
1721304000,121.825,122.4,116.56,119.5203,189070505
1721318400,119.53,121.46,118.95,121.11,110848250
1721390400,120.34,121.6,118.59,119.1773,104838919
1721404800,119.17,119.31,117.37,117.99,88815631
1721649600,120.35,123.28,119.86,121.77,133661642
1721664000,121.775,124.07,121.54,123.74,93225392
1721736000,122.965,124.69,122.7,123.2209,95625356
1721750400,123.24,123.53,122.1,122.43,56593779
1721822400,119.14,119.94,115.55,115.92,136262126
1721836800,115.92,117.33,113.51,114.4237,146845086
1721908800,113.08,116.25,106.3,116.04,300752193
1721923200,116.05,116.63,112.08,112.34,131491196
1721995200,116.15,116.2,112.01,113.79,152002489
1722009600,113.795,114.54,111.58,113.06,114796648
1722254400,113.6409,116.28,111.43,112.952,140885871
1722268800,112.952,113.71,111.3,111.55,83288702
1722340800,111.51,111.99,103.91,104.59,239464379
1722355200,104.59,106.48,102.54,103.7076,188126426
1722427200,112.9,116.47,110.88,115.4206,238567315
1722441600,115.43,118.34,114.25,117.17,168366614
1722513600,117.6,120.16,111.67,112.01,237766839
1722528000,112.005,112.16,106.8104,109.33,236329705
1722600000,103.87,108.72,101.37,107.2308,293473667
1722614400,107.21,107.38,104.56,107.3088,145721387
1722859200,92.06,103.4,90.69,103.19,343453948
1722873600,103.16,103.185,98.56,100.6,172753593
1722945600,103.8325,106.355,100.55,105.48,207977927
1722960000,105.49,107.71,104.0,104.01,147899483
